SYMBOL|SERIES|OPEN|HIGH|LOW|CLOSE|LAST|PREVCLOSE|TOTTRDQTY|TOTTRDVAL|TOTALTRADES
INTEGRA|BE|1.70|1.7|1.7|1.7|1.7|1.7|510|867|2
INTELLECT|EQ|671.00|674|627.9|655.25|653|685.3|659587|435384997.2|23879
INTENTECH|EQ|89.50|93.75|87.1|88.4|88.6|90.25|205805|18723848.5|3115
INTLCONV|EQ|71.00|71.5|68.55|69.35|70.05|71.1|216388|15078027.35|3217
INVENTURE|EQ|3.90|3.95|3.8|3.8|3.8|4|17785478|68528314.6|13280
IOB|EQ|20.00|20.1|19.05|19.25|19.3|20.3|5422055|106274642.9|10430
IOC|EQ|121.00|121|116.15|116.55|116.65|122.05|10975847|1300959069|101414
IOLCP|EQ|400.00|400.25|380.1|384.95|383|402.8|184557|72160683.85|11260
IPCALAB|EQ|990.00|994|942.1|964.55|963.9|993.75|851025|825290288.8|34809
IPL|EQ|311.00|317.4|299.9|302.05|302.5|324.1|197390|61154572|5708
IRB|EQ|282.00|282|272.95|272.95|272.95|287.3|1594501|442376766.3|16329
IRBINVIT|IV|56.49|56.49|55.8|55.93|55.82|56.3|396960|22228601.62|702
IRCON|EQ|44.80|44.8|43|43.6|43.5|44.8|1438375|63242986.55|8937
IRCTC|EQ|819.50|819.95|792.35|798.35|794.9|830.75|4917765|3976317515|196760
IREDA|N2|1285.00|1287|1285|1287|1287|1200|2|2572|2
IREDA|N6|1467.00|1467|1467|1467|1467|1500|1|1467|1
IREDA|N7|1220.00|1220|1212.16|1212.16|1212.16|1230|9|10917.28|2
IRFC|EQ|22.80|22.85|22|22.1|22.2|22.95|11887542|266861350.6|35308
IRFC|N2|1205.00|1214|1205|1208.35|1208.35|1203|1986|2408539.4|24
IRFC|N7|1340.00|1340|1340|1340|1340|1131.47|25|33500|1
IRFC|NA|1323.00|1323|1310|1315|1315|1323|315|413460|15
IRFC|ND|1140.00|1140|1140|1140|1140|1134|5|5700|1
IRFC|NE|1339.99|1340|1339.99|1340|1340|1317.51|495|663299.05|5
IRFC|NI|1120.00|1120|1120|1120|1120|1100|975|1092000|3
IRFC|NJ|1230.00|1230|1230|1230|1230|1235|180|221400|3
IRFC|NO|1245.25|1245.25|1230|1235.73|1234|1249.82|9699|12013053.9|49
IRIS|EQ|125.00|129.9|115.7|121.15|120|123.95|21540|2599057.4|711
IRISDOREME|EQ|184.50|184.5|171.25|173.7|171.5|184.5|2517|445002.35|174
ISEC|EQ|725.00|729.8|706.25|723.55|725|729.05|876965|635107196.5|18477
ISFT|EQ|233.00|233|205.1|207.1|207|211.9|105748|23031562.5|2575
ISGEC|EQ|591.00|598|565|569.7|565|591.15|92841|53562405.2|6900
ISMTLTD|BE|51.70|53.85|51.5|51.75|51.5|54.2|189558|9828628.65|507
ITC|EQ|226.00|226|218.5|219.45|219|232.45|22745228|5055534117|195500
ITDC|EQ|380.05|386.9|369.8|373.9|371.7|387.9|33585|12651118.45|2009
